Dấu thời gian,Câu 1 — Bạn đã từng phải quay lại bài cũ để tìm một khái niệm khi đang học bài mới chưa? ,"Câu 2 -  Khi đang học bài mới, bạn phải quay lại bài cũ để tìm lại nội dung với tần suất như thế nào? ","Câu  -  Khi cần tìm lại một khái niệm/nội dung đã học ở bài cũ, thông thường bạn mất khoảng bao lâu để tìm được đúng chỗ?","Câu 4 -  Khi cần tìm lại nội dung đã học, bạn thường làm cách nào? ",Câu 5 -  Bạn có biết cách tìm kiếm một từ khóa trên toàn bộ các bài giảng/course materials đã học trên VLearn không?,"Câu 6 -  Khi bạn hỏi Tutor AI về nội dung đang học, câu trả lời thường bám sát slide/trang/lesson bạn đang mở ở mức nào?  ","Câu 7 -  Khi câu trả lời đầu tiên của Tutor AI chưa đáp ứng được nhu cầu, bạn thường phải hỏi lại bao nhiêu lần trước khi có câu trả lời có thể sử dụng? ","Câu 8 -  Nếu bạn từng bỏ cuộc khi đang cố tìm lại một nội dung đã học, nguyên nhân nào khiến bạn bỏ cuộc? ","Câu 9 -  Hãy mô tả ngắn gọn một lần gần đây bạn gặp khó khăn khi tìm lại một nội dung đã học. Bạn có thể viết đúng cách bạn thường nói, không cần viết theo kiểu học thuật.","Câu 10 -  Nếu bạn từng gặp trường hợp Tutor AI trả lời chưa sát với bài giảng hoặc khiến bạn phải kiểm tra lại slide, hãy mô tả trải nghiệm đó. Bạn có thể viết nguyên văn theo cách bạn thường nói. "
17/09/2026 20:13:34,Không,Thỉnh thoảng,Dưới 30 giây,Dùng Ctrl + F trong file PDF,Không biết có chức năng này,Hoàn toàn không bám sát,3,Tìm quá lâu,Không ,Không 
17/09/2026 20:14:43,Có,Gần như mỗi ngày,Dưới 30 giây,"Mở lại danh sách bài học rồi tìm từng bài, Mở từng file PDF/slide để tìm, Dùng Ctrl + F trong file PDF, Hỏi Tutor AI, Hỏi bạn khác, Tìm trên Google/internet, Tôi chưa từng cần tìm lại","Có, tôi biết và đã sử dụng",Hoàn toàn không bám sát,0,"Không nhớ nội dung nằm ở bài nào, Không nhớ nội dung nằm ở file nào, Không nhớ nội dung nằm ở trang nào, Tìm quá lâu, Không có chức năng search phù hợp, Không biết phải tìm bằng từ khóa nào, Tôi thường không bỏ cuộc",Không có,Chưa gặp
17/09/2026 20:14:59,Có,1–2 lần/tuần,3–5 phút,"Mở từng file PDF/slide để tìm, Dùng Ctrl + F trong file PDF","Có, tôi biết nhưng chưa sử dụng",Ít bám,4 lần trở lên,"Không nhớ nội dung nằm ở trang nào, Không có chức năng search phù hợp, Không biết phải tìm bằng từ khóa nào",Ở trên lớp nghe giảng và nhớ lại phần giải thích về một chủ đề trên Vlearn nhưng không nhớ rõ ở đâu,Cảm giác bị lừa
17/09/2026 20:15:04,Có,Gần như mỗi ngày,3–5 phút,"Mở lại danh sách bài học rồi tìm từng bài, Mở từng file PDF/slide để tìm, Dùng Ctrl + F trong file PDF, Hỏi Tutor AI, Hỏi bạn khác, Tìm trên Google/internet",Tôi không nghĩ VLearn có chức năng này,Ít bám,4 lần trở lên,"Không nhớ nội dung nằm ở file nào, Tìm quá lâu, Không có chức năng search phù hợp, Không biết phải tìm bằng từ khóa nào, Tôi thường không bỏ cuộc",Tôi nói nhưng chat bot k hiểu trả lời lan man,Rất khó chịu 
17/09/2026 20:16:39,Có,3–5 lần/tuần,1–3 phút,"Mở từng file PDF/slide để tìm, Dùng Ctrl + F trong file PDF, Hỏi bạn khác","Có, tôi biết và đã sử dụng",Hoàn toàn không bám sát,2,"Không nhớ nội dung nằm ở trang nào, Tìm quá lâu, Không có chức năng search phù hợp","Không nhớ nội dung cần tìm nằm ở đâu, chap nào","Ai trả lời dài dòng, chưa sát với ý cần tìm và không liên quan đến dữ liệu cần thiết"
17/09/2026 20:34:36,Có,3–5 lần/tuần,1–3 phút,"Mở từng file PDF/slide để tìm, Dùng Ctrl + F trong file PDF, Hỏi bạn khác","Có, tôi biết và đã sử dụng",Một phần,1,"Không nhớ nội dung nằm ở file nào, Không nhớ nội dung nằm ở trang nào, Tìm quá lâu, Không có chức năng search phù hợp","Đợt thầy có giải thích một cái case study rất kỹ ở buổi 4 hay buổi 5 gì đấy, nhưng trên slide là dạng pdf không tải về được cũng không edit/note được, và trên đó lý thuyết là chủ yếu với rất nhiều trang nên không bấm Ctrl+F để tìm từ khóa được ở từng trạng được, còn video trên hệ thống thì lại là lý thuyết, càng không có nội dung case thực tế. Cuối cùng vẫn phải tìm trong bài ghi, đối chiếu nội dung slide để xác định vị trí của case study.","Lúc làm các bài lab, mình cần lôi lại một vài nội dung và ví dụ trên buổi lý thuyết, cụ thể là qua slide trên Vlearn. Vấn đề là tài liệu của mình bị phân tán lung tung: slide chính thì lưu trên Vlearn, bài ghi trong docs, còn mấy lưu ý thầy nói thêm thì mình lại ghi lồng vào cùng kiến thức chuyên môn trong docs. Đến lúc cần ráp lại kiến thức để làm bài thì mất rất nhiều thời gian tìm kiếm"
18/09/2026 0:45:53,Có,3–5 lần/tuần,5–10 phút,Dùng Ctrl + F trong file PDF,"Có, tôi biết nhưng chưa sử dụng",Khá sát,2,"Không nhớ nội dung nằm ở bài nào, Không có chức năng search phù hợp",A,A
18/09/2026 3:06:58,Có,Gần như mỗi ngày,5–10 phút,,Không biết có chức năng này,Ít bám,1,,Mình nhớ từ khóa nhưng không biết tìm ở file nào nên cuối cùng phải mở nhiều slide.,Có lần AI giải thích thêm thông tin ngoài slide nên mình phải quay lại xem tài liệu gốc.
18/09/2026 3:08:22,Không,1–2 lần/tuần,30 giây – 1 phút,,"Có, tôi biết nhưng chưa sử dụng",Khá sát,2,,"Có lần mình nhớ nội dung nhưng không nhớ nằm ở slide nào, tìm một lúc khá lâu.",Có lúc Tutor AI giải thích đúng ý nhưng không giống cách trình bày trong slide nên mình vẫn phải mở slide kiểm tra.
18/09/2026 3:08:25,Không nhớ,Gần như mỗi ngày,5–10 phút,,Không biết có chức năng này,Khá sát,3,,Có lúc mình biết mình đã học rồi nhưng tìm lại rất mất thời gian.,Có trường hợp AI trả lời nghe hợp lý nhưng mình không chắc có đúng với bài đang học không.
